EventType,EventDate,City,State,Country,HasSafetyRec,ReportType,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,ReportStatus,X,Year,Month,Day,Hour,CauseCategory
ACC,2025-01-01T02:20:00Z,Naples,Florida,United States,FALSE,DirectorBrief,None,0,0,0,26.156487,-81.776161,BEECH,A36,AIR,APF,FALSE,1,PERS,91,Substantial,IMC,NA,In work,NA,2025,January,1,0,Other
ACC,2024-12-31T14:30:00Z,Anchorage,Alaska,United States,FALSE,DirectorBrief,None,0,0,0,61.215714,-149.84268,CESSNA,172N,AIR,AMR,FALSE,1,INST,91,Substantial,VMC,NA,In work,NA,2024,December,31,0,Other
ACC,2024-12-31T14:16:00Z,Los Alamos,New Mexico,United States,FALSE,DirectorBrief,None,0,0,0,35.879686,-106.26868,CESSNA,182M,AIR,LAM,FALSE,1,PERS,91,Substantial,NA,NA,In work,NA,2024,December,31,0,Other
ACC,2024-12-31T13:20:00Z,Galveston,Texas,United States,FALSE,DirectorBrief,None,0,0,0,29.30454,-94.771416,ROBINSON HELICOPTER,R44,HELI,None,FALSE,1,POSI,91,Substantial,VMC,"Galveston Helicopter Adventures, LLC",Completed,NA,2024,December,31,0,Pilot Error
ACC,2024-12-30T16:15:00Z,Peebles,Ohio,United States,FALSE,DirectorBrief,Fatal,1,0,0,38.994612,-83.426639,CESSNA,310,AIR,NA,FALSE,2,FERY,91,Substantial,VMC,NA,In work,NA,2024,December,30,0,Other
ACC,2024-12-29T05:00:00Z,Gulf of Mexico,NA,United States,FALSE,DirectorBrief,Serious,0,1,0,0,0,BOEING,767-322,NA,NA,FALSE,NA,NA,121,NA,NA,UNITED AIRLINES INC,In work,NA,2024,December,29,0,Other
ACC,2024-12-28T16:00:00Z,Monticello,Iowa,United States,FALSE,DirectorBrief,NA,0,0,0,42.220362,-91.163298,DIAMOND AIRCRAFT IND INC,DA 40 NG,AIR,MXO,FALSE,1,PERS,91,Substantial,NA,M U D Y PROPERTIES LLC,In work,NA,2024,December,28,0,Other
ACC,2024-12-28T14:25:00Z,Parsons,Kansas,United States,FALSE,DirectorBrief,Serious,0,1,0,37.2983,-95.26311,Cozy,Cub,AIR,NA,FALSE,1,PERS,91,Substantial,NA,NA,In work,NA,2024,December,28,0,Other
ACC,2024-12-27T23:45:00Z,New Braunfels,Texas,United States,FALSE,DirectorBrief,Serious,0,2,1,29.702707,-98.042741,PIPER,PA-28,AIR,KBAZ,FALSE,1,PERS,91,Substantial,VMC,NA,Completed,NA,2024,December,27,0,Pilot Error
ACC,2024-12-27T22:03:00Z,Gallup,New Mexico,United States,FALSE,DirectorBrief,None,0,0,0,35.512773,-108.772,CESSNA,T210L,AIR,GUP,FALSE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,December,27,0,Other
ACC,2024-12-27T19:30:00Z,Florence,South Carolina,United States,FALSE,DirectorBrief,None,0,0,0,34.18673,-79.718722,BEECH,58,AIR,FLO,FALSE,2,PERS,91,Unknown,NA,NA,In work,NA,2024,December,27,0,Other
ACC,2024-12-27T14:09:00Z,Pagosa Springs,Colorado,United States,FALSE,DirectorBrief,None,0,0,0,37.297666,-107.04972,CESSNA,560,AIR,PSO,FALSE,2,PERS,91,Substantial,IMC,Metroplex Flight Services,In work,NA,2024,December,27,0,Other
ACC,2024-12-26T19:57:00Z,Melbourne,Florida,United States,FALSE,DirectorBrief,Serious,0,2,0,28.114515,-80.706768,BEECH,76,AIR,MLB,FALSE,2,INST,91,Substantial,NA,MELBOURNE FLIGHT TRAINING LLC,In work,NA,2024,December,26,0,Other
ACC,2024-12-26T14:44:00Z,Phoenix,Arizona,United States,FALSE,DirectorBrief,Serious,0,2,1,0,0,BOEING,737-9,NA,NA,FALSE,NA,NA,121,NA,NA,ALASKA AIRLINES INC,In work,NA,2024,December,26,0,Other
ACC,2024-12-25T18:00:00Z,Loganville,Georgia,United States,FALSE,DirectorBrief,Serious,0,1,0,33,-83,AERONCA,15AC,AIR,6GA4,FALSE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,December,25,0,Other
ACC,2024-12-24T17:00:00Z,Palmer,Alaska,United States,FALSE,DirectorBrief,None,0,0,0,61.612446,-149.18642,PIPER,PA-18-150,AIR,NA,FALSE,1,PERS,91,Substantial,NA,NA,In work,NA,2024,December,24,0,Other
ACC,2024-12-23T12:00:00Z,Waimea,Hawaii,United States,FALSE,DirectorBrief,None,0,0,0,19.988556,-155.67623,CESSNA,182B,AIR,NA,FALSE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,December,23,0,Other
ACC,2024-12-22T17:39:00Z,Gila Bend,Arizona,United States,FALSE,DirectorBrief,Minor,0,0,1,33.04319,-112.90149,VANS,RV-7A,AIR,N/A,TRUE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,December,22,0,Other
ACC,2024-12-22T17:08:00Z,Carson,California,United States,FALSE,DirectorBrief,Minor,0,0,2,33.854479,-118.26942,SLING AIRCRAFT (PTY) LTD,SLING LSA,AIR,N/A,FALSE,1,PERS,91,Substantial,VMC,AVIATION FINANCIAL CORP,In work,NA,2024,December,22,0,Other
ACC,2024-12-21T19:30:00Z,Orlando,Florida,United States,FALSE,DirectorBrief,Serious,0,1,0,28.541143,-81.36349,Uvify,IFO,UNMANNED,NA,FALSE,NA,NA,UNK,Substantial,VMC,Sky Elements,In work,NA,2024,December,21,0,Other
ACC,2024-12-21T19:00:00Z,Myakka City,Florida,United States,FALSE,DirectorBrief,Serious,0,1,0,27.340327,-82.137442,BUCKEYE,DREAM MACHINE,PPAR,NA,FALSE,1,PERS,91,None,VMC,NA,In work,NA,2024,December,21,0,Other
ACC,2024-12-21T17:10:00Z,Brawley,California,United States,FALSE,DirectorBrief,None,0,0,0,32.985196,-115.52824,REMOS AIRCRAFT GMBH,REMOS G-3/600,AIR,BWC,FALSE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,December,21,0,Other
ACC,2024-12-21T16:27:00Z,Springfield,Missouri,United States,FALSE,DirectorBrief,Minor,0,0,1,37,-93,ROBINSON HELICOPTER,R22 BETA,HELI,3DW,FALSE,1,INST,91,Destroyed,VMC,"So Fly Flight Training Academy, LLC",Completed,NA,2024,December,21,0,Pilot Error
ACC,2024-12-21T00:15:00Z,Honolulu,Hawaii,United States,FALSE,DirectorBrief,None,0,0,0,21.32,-157.91,RAYTHEON AIRCRAFT COMPANY,C90A,AIR,HNL,FALSE,2,OWRK,135,Substantial,VMC,GUARDIAN FLIGHT LLC,In work,NA,2024,December,21,0,Other
ACC,2024-12-20T15:00:00Z,Cintrona,Puerto Rico,United States,FALSE,DirectorBrief,Fatal,1,0,0,18.014348,-66.52444,CESSNA,172,AIR,TJPS,FALSE,1,PERS,91,Substantial,VMC,FLIGHT WORLD INC,In work,NA,2024,December,20,0,Other
ACC,2024-12-19T17:17:00Z,Placerville,California,United States,FALSE,DirectorBrief,None,0,0,0,38.723955,-120.75416,PIPER,PA-28RT-201T,AIR,PVF,FALSE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,December,19,0,Other
ACC,2024-12-19T17:00:00Z,Lakewood,New Jersey,United States,FALSE,DirectorBrief,Minor,0,0,1,40.067182,-74.176655,CESSNA,172,AIR,N12,FALSE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,December,19,0,Other
ACC,2024-12-19T16:50:00Z,Murray,Kentucky,United States,FALSE,DirectorBrief,None,0,0,0,36.664412,-88.372267,BEECH,B95A,AIR,CEY,FALSE,2,INST,91,Substantial,VMC,SKYVIEW AVIATION LLC,In work,NA,2024,December,19,0,Other
ACC,2024-12-19T16:15:00Z,Mesa,Arizona,United States,FALSE,DirectorBrief,None,0,0,0,33.455439,-111.74355,PIPER,PA-24-250,AIR,FFZ,FALSE,1,PERS,91,Substantial,VMC,NA,In work,NA,2024,December,19,0,Other
ACC,2024-12-19T12:30:00Z,Southport,North Carolina,United States,FALSE,DirectorBrief,None,0,0,0,33.932947,-78.070601,CESSNA,172K,AIR,ILM,FALSE,1,INST,91,Substantial,IMC,HIGH TIDE AVIATION LLC,In work,NA,2024,December,19,0,Other
ACC,2024-12-19T12:22:00Z,East Aurora,New York,United States,FALSE,DirectorBrief,Fatal,1,0,0,42.770916,-78.67945,BEECH,A36,AIR,BUF,FALSE,1,PERS,91,Destroyed,VMC,NA,In work,NA,2024,December,19,0,Other
